,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,,Money Can't Buy Style / Kmart Fashion,,,,,,,,,,,,,,,MONEY CAN'T BUY STYLE,,,,,,,"In the “pre-influencer” era, we took a street-casting approach to find our own “influencers.” Meet our “Stylepreneurs” - handpicked individuals who don’t need a designer name or an expensive price tag to tell the world they have style. We then designed an integrated social + live remix contest in NY where our Stylepreneurs had a chance to show off their best “looks” in a series of challenges, using specified Kmart pieces. And we enlisted one of the co-host’s of the Fashion Police to serve as our Shop Your Way host.",,,,,,#FFFFFF,,,,,,,#000000
,,,,,,Street cast Influencer campaign. ,,SOCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PHOTO ART DIRECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,FASHION / BEAUTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,,Sofia Vergara / Kmart Fashion,,,,,FILM  ,,,,,,,,,,SOFIA VERGARA,,,,,,,"Before so many brands were spreading the gospel of body positivity, Sofia Vergara launched an affordable apparel line aimed to celebrate every woman exactly as she is! Sofia is never afraid to speak her mind, or show off her assets. In this Kmart Fashion campaign, we championed every type of woman with a call to “Work What They’ve Got.”",,,,,,#FFFFFF,,,,,,,#000000
,,,,,,Inspiring women to proudly Work What You Got!  ,,FASHION / BEAUTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PRINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,,Nike,,,,,SPORTS,,,,,,,,,,OLYMPIC DESIGN,,,,,,,"What started out as a request for an inspo ""deck” blossomed into a 550+ page, labor-of-love, bound volume that encompasses the Olympic experience from the resurrection in Athens in 1896 to Beijing 2008, all through the perspective of design.

We made it not only to celebrate the performances, people, places, and politics, but as part of the design process…to inspire and inform how the designer’s art both promoted the games and fueled the performances themselves, in order to help inform the games to come.

We printed a limited edition of the book and handed them out to the Design Lead of each group designing for the London games.

To this day, it still lives on my coffee table. ",,,,,,#FFFFFF,,,,,,,#000000
,,,,,,Olympic Design experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DESIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
